"","","results"
"1","TIRE","1.1383419733357"
"2","WHAL","1.28857529922134"
"3","CLERK","0.594880254188934"
"4","MUDGE","1.06200952139156"
"5","HOGB","0.309520427561332"
"6","FERL","0.797788845276548"
"7","RICE","0.786189313044788"
"8","SAND","0.889762766719868"
"9","MART","0.839665075704835"
"10","COL","0.691761498852418"
"11","ONE","1.49033958773655"
"12","JOSH","1.492748365563"
"13","CIND","0"
"14","PANTON","1.41735399877974"
"15","FLAN","0.168316422232772"
"16","MENA","0.599339171986713"
"17","PITH","1.00086751097005"
"18","FRED","0.788556569876201"
"19","LAROC","1.18072164711023"
"20","PORT","1.75678611341277"
"21","NEK","0.666116131111469"
"22","SWAN","0"
"23","DODD","1.48025327828381"
"24","ROCK","0.754972645814441"
"25","BOST","1.61876714329858"
"26","BOSTFAR","0.759526198432472"
"27","BOSTMID","1.1383419733357"
