"","target_name","site","HBviralLoad","n","BombusViralLoad","sd","se","apiary_near_far","ShannonDIV","Density","sumApiaries","sumColonies","BombPrev","BombMeanNA"
"1","BQCV","BOST-NEAR",366994726.780309,21,5316210.39965652,9459693.69255387,2064274.39986783,1,1.618767143,40.8,9,45,0.952380952380952,5582020.91963935
"2","BQCV","CIND",14771904.6283741,10,28455499.2518666,56110898.2532242,17743824.0038152,0,0,132.7,1,1,1,28455499.2518666
"3","BQCV","CLERK",0,21,62970.4108987788,146142.208886338,31890.8444976044,0,0.594880254,27.3,0,0,0.238095238095238,264475.725774871
"4","BQCV","COL",992531886.808963,23,1372201.88031788,1964750.53506729,409678.806587879,0,0.691761499,3.8,3,3,0.869565217391304,1578032.16236556
"5","BQCV","FERL",419532554.654897,20,15633038.0325338,28317436.2425683,6331971.2386899,1,0.797788845,26.5,2,27,0.8,19541297.5406673
"6","BQCV","FLAN",0,10,12662784.2015662,13246489.5989066,4188907.81342752,0,0.168316422,67.5,4,10,1,12662784.2015662
"7","BQCV","HOGB",2588929.37870337,20,231763.768606726,441765.398583922,98781.7461340939,0,0.309520428,74.1,0,0,0.45,515030.596903836
"8","BQCV","JOSH",2374674520.32316,13,631282.509040349,846377.945224942,234743.006148491,1,1.492748366,9.5,1,32,0.846153846153846,746061.147047685
"9","BQCV","MART",9560345.41295112,23,5388465.56282102,9499938.80333104,1980874.17315464,1,0.839665076,17.2,3,26,0.91304347826087,5901652.75928017
"10","BQCV","MUDGE",414392429.20454,19,1825141.3265926,5882628.03908887,1349567.42867512,0,1.062009521,28.8,0,0,0.684210526315789,2667514.24655841
"11","BQCV","NEK",0,13,26273.3041300165,94729.7452166342,26273.3041300165,0,0.666116131,16.3,0,0,0.0769230769230769,341552.953690214
"12","BQCV","ONE",47746762.2549483,19,3356169.17727065,2892913.56606626,663679.888783196,1,1.490339588,54.4,6,52,0.894736842105263,3751012.60989073
"13","BQCV","PAT",4616640.74291064,10,49086627.1996327,55172499.3058531,17447076.2010555,1,1.417353999,56.7,4,54,0.9,54540696.8884808
"14","BQCV","RICE",2760299553.87362,24,5451962.44869072,9330951.94455661,1904672.58988285,0,0.786189313,9.2,2,17,0.916666666666667,5947595.3985717
"15","BQCV","ROCK",100740782.013013,20,1741792.33300173,3372288.81659795,754066.703367533,0,0.754972646,19.7,1,7,0.9,1935324.81444636
"16","BQCV","SAND",13878919.4666565,21,16128625.1205134,23984354.4249094,5233815.22127602,0,0.889762767,9.7,2,4,0.857142857142857,18816729.3072657
"17","BQCV","SWAN",9359114.06011185,20,1802985.1771213,3277977.52628858,732978.057749787,0,0,13.6,4,30,0.7,2575693.11017328
"18","BQCV","TIRE",0,20,438629.33658358,1677292.25731654,375053.950549385,0,1.138341973,13.8,0,0,0.4,1096573.34145895
"19","BQCV","WHAL",175457175.302386,11,372881.059828504,380024.299459058,114581.637502123,1,1.288575299,26.9,5,45,1,410169.165811355
"20","DWV","BOST-NEAR",1407310273.71918,22,4977.42635200328,11798.0428257182,2515.35118203729,1,1.618767143,40.8,9,45,0.181818181818182,27375.844936018
"21","DWV","CIND",957620549.655138,13,36783.3845122641,55482.4007815,15388.0493002724,0,0,132.7,1,1,0.384615384615385,95636.7997318867
"22","DWV","CLERK",0,23,0,0,0,0,0.594880254,27.3,0,0,0,0
"23","DWV","COL",14804.049177301,24,0,0,0,0,0.691761499,3.8,3,3,0,0
"24","DWV","FERL",5038.47612574645,22,124733.330342556,500965.280210639,106806.156610197,1,0.797788845,26.5,2,27,0.227272727272727,548826.653507246
"25","DWV","FLAN",0,13,0,0,0,0,0.168316422,67.5,4,10,0,0
"26","DWV","HOGB",174047835.441604,21,8015.18857220849,26228.6044301832,5723.55072258898,0,0.309520428,74.1,0,0,0.0952380952380952,84159.4800081891
"27","DWV","JOSH",374789287.054371,13,544750.989605961,1327121.12560648,368077.17439428,1,1.492748366,9.5,1,32,0.384615384615385,1416352.5729755
"28","DWV","MART",0,24,36839.4542828595,145401.916502345,29680.0419211259,1,0.839665076,17.2,3,26,0.125,294715.634262876
"29","DWV","MUDGE",1832848909.66111,23,6498.325309637,31164.873368698,6498.325309637,0,1.062009521,28.8,0,0,0.0434782608695652,149461.482121651
"30","DWV","NEK",0,13,0,0,0,0,0.666116131,16.3,0,0,0,0
"31","DWV","ONE",8882018696.22566,23,346.896870898212,1663.65894879219,346.896870898212,1,1.490339588,54.4,6,52,0.0434782608695652,7978.62803065888
"32","DWV","PAT",0,11,0,0,0,1,1.417353999,56.7,4,54,0,0
"33","DWV","RICE",23928.0796165663,24,18090.6817918702,88625.8789782807,18090.6817918702,0,0.786189313,9.2,2,17,0.0416666666666667,434176.363004884
"34","DWV","ROCK",2715361841.38702,22,1301.88906029005,6106.40096592614,1301.88906029005,0,0.754972646,19.7,1,7,0.0909090909090909,28641.559326381
"35","DWV","SAND",0,23,0,0,0,0,0.889762767,9.7,2,4,0,0
"36","DWV","SWAN",14113.1135008619,22,2058.54570446332,9655.43521453159,2058.54570446332,0,0,13.6,4,30,0.0454545454545455,45288.0054981931
"37","DWV","TIRE",0,21,0,0,0,0,1.138341973,13.8,0,0,0,0
"38","DWV","WHAL",75762.1878045744,11,5030.06069839987,16682.8240093054,5030.06069839987,1,1.288575299,26.9,5,45,0.0909090909090909,55330.6676823986
