"","site","target_name","species","virusBINY","Varroa100","sumApiaries","sumColonies"
"241","FERL","DWV","Vagans",0,0.42,2,27
"243","FERL","DWV","Vagans",1,0.42,2,27
"244","FERL","DWV","Vagans",0,0.42,2,27
"245","FERL","DWV","Vagans",0,0.42,2,27
"248","FERL","DWV","Vagans",0,0.42,2,27
"250","FERL","DWV","Vagans",0,0.42,2,27
"251","FERL","DWV","Vagans",0,0.42,2,27
"252","FERL","DWV","Vagans",0,0.42,2,27
"255","FERL","DWV","Vagans",0,0.42,2,27
"269","FERL","DWV","Vagans",0,0.42,2,27
"288","FERL","DWV","Vagans",0,0.42,2,27
"290","FERL","DWV","Vagans",1,0.42,2,27
"398","JOSH","DWV","Vagans",1,6.19,1,32
"399","JOSH","DWV","Vagans",0,6.19,1,32
"400","JOSH","DWV","Vagans",1,6.19,1,32
"402","JOSH","DWV","Vagans",1,6.19,1,32
"403","JOSH","DWV","Vagans",0,6.19,1,32
"404","JOSH","DWV","Vagans",0,6.19,1,32
"405","JOSH","DWV","Vagans",1,6.19,1,32
"406","JOSH","DWV","Vagans",0,6.19,1,32
"407","JOSH","DWV","Vagans",1,6.19,1,32
"408","JOSH","DWV","Vagans",0,6.19,1,32
"409","JOSH","DWV","Vagans",0,6.19,1,32
"423","JOSH","DWV","Vagans",0,6.19,1,32
"424","JOSH","DWV","Vagans",0,6.19,1,32
"437","MART","DWV","Vagans",0,0.18,3,26
"440","MART","DWV","Vagans",0,0.18,3,26
"441","MART","DWV","Vagans",0,0.18,3,26
"446","MART","DWV","Vagans",0,0.18,3,26
"447","MART","DWV","Vagans",0,0.18,3,26
"449","MART","DWV","Vagans",0,0.18,3,26
"450","MART","DWV","Vagans",0,0.18,3,26
"451","MART","DWV","Vagans",0,0.18,3,26
"457","MART","DWV","Vagans",0,0.18,3,26
"459","MART","DWV","Vagans",1,0.18,3,26
"465","MART","DWV","Vagans",0,0.18,3,26
"466","MART","DWV","Vagans",0,0.18,3,26
"467","MART","DWV","Vagans",1,0.18,3,26
"609","ONE","DWV","Vagans",0,2.9,6,52
"618","ONE","DWV","Vagans",0,2.9,6,52
"620","ONE","DWV","Vagans",1,2.9,6,52
"654","ONE","DWV","Vagans",0,2.9,6,52
"655","ONE","DWV","Vagans",0,2.9,6,52
"656","ONE","DWV","Vagans",0,2.9,6,52
"657","ONE","DWV","Vagans",0,2.9,6,52
"659","ONE","DWV","Vagans",0,2.9,6,52
"660","ONE","DWV","Vagans",0,2.9,6,52
"661","ONE","DWV","Vagans",0,2.9,6,52
"662","ONE","DWV","Vagans",0,2.9,6,52
"667","ONE","DWV","Vagans",0,2.9,6,52
"1048","WHAL","DWV","Vagans",0,2.33,5,45
"1049","WHAL","DWV","Vagans",0,2.33,5,45
"1050","WHAL","DWV","Vagans",0,2.33,5,45
"1051","WHAL","DWV","Vagans",1,2.33,5,45
"1052","WHAL","DWV","Vagans",0,2.33,5,45
"1053","WHAL","DWV","Vagans",0,2.33,5,45
"1054","WHAL","DWV","Vagans",0,2.33,5,45
"1055","WHAL","DWV","Vagans",0,2.33,5,45
"1056","WHAL","DWV","Vagans",0,2.33,5,45
"1057","WHAL","DWV","Vagans",0,2.33,5,45
"1060","WHAL","DWV","Vagans",0,2.33,5,45
